asset_id,owner,mint_timestamp_utc,mint_tx,solscan_asset,solscan_tx,name,is_test,is_keepsake
47iS2BdxHUuZYvLF29ZQk3oFhZimCX27DyfMxMthjLTH,9jAYpQYZiZm4eJcj6q2UppN2Jc6Xr6KCuNafiETYhTDz,2026-06-24T09:34:41.000Z,41sjndi9HfioPnykYUtcSerTzX9WrbaG55ceTSkPZkbBMKDB3xi9fBq37eATBYWCFkAjmyso9EbeXVttRBLMMN6q,https://solscan.io/token/47iS2BdxHUuZYvLF29ZQk3oFhZimCX27DyfMxMthjLTH,https://solscan.io/tx/41sjndi9HfioPnykYUtcSerTzX9WrbaG55ceTSkPZkbBMKDB3xi9fBq37eATBYWCFkAjmyso9EbeXVttRBLMMN6q,"Stellar: Collection Verify Test",true,false
47iHiuqWc2xabbTfDUwWvyDo2pWs83oeLHNBQShGD2yk,9jAYpQYZiZm4eJcj6q2UppN2Jc6Xr6KCuNafiETYhTDz,2026-06-24T09:39:39.000Z,6165JRucxjdstNKqWsfbroAWMdwajavespUadfKyeFSWu7mijezQ2xdH1ugoPxprZaxa9ENfxmMDBkyTEXVwVEqN,https://solscan.io/token/47iHiuqWc2xabbTfDUwWvyDo2pWs83oeLHNBQShGD2yk,https://solscan.io/tx/6165JRucxjdstNKqWsfbroAWMdwajavespUadfKyeFSWu7mijezQ2xdH1ugoPxprZaxa9ENfxmMDBkyTEXVwVEqN,"Stellar: Collection Verify Test",true,false
GC3SXdyaHbGdGwjZ9yJHgcVMKuLvgqAqwEjRgsKHbHrT,9jAYpQYZiZm4eJcj6q2UppN2Jc6Xr6KCuNafiETYhTDz,2026-06-24T09:42:38.000Z,2uyppoc9GUfxV3uA88suQNhaNFkTshNsR5gV5wzioUWtGRzpbMLDGDLF9n3CKs79dHsktyCYXG8cJuApbhaPD3yj,https://solscan.io/token/GC3SXdyaHbGdGwjZ9yJHgcVMKuLvgqAqwEjRgsKHbHrT,https://solscan.io/tx/2uyppoc9GUfxV3uA88suQNhaNFkTshNsR5gV5wzioUWtGRzpbMLDGDLF9n3CKs79dHsktyCYXG8cJuApbhaPD3yj,"Stellar: Collection Verify Test",true,false
HM2CMsTv2TaZsCHXkSxKjmwTYH94DksjXgYPw46ZDLYG,9jAYpQYZiZm4eJcj6q2UppN2Jc6Xr6KCuNafiETYhTDz,2026-07-11T08:48:46.000Z,4CxH2XEdMYbSPHy8oc7fGsE8tuCEvTppN4nbDTFCHK6USav8BVUhGJa3nDF4TrDPuTCtwNXhtVth88W1YTGPVut6,https://solscan.io/token/HM2CMsTv2TaZsCHXkSxKjmwTYH94DksjXgYPw46ZDLYG,https://solscan.io/tx/4CxH2XEdMYbSPHy8oc7fGsE8tuCEvTppN4nbDTFCHK6USav8BVUhGJa3nDF4TrDPuTCtwNXhtVth88W1YTGPVut6,"Stellar: Verify Test Long Nam…",true,false
D5L3Gzhig3B83fhTpPSSEh9cb4KyjPQdHLEQSinsCDBP,2konLYHiUGqfFymhx81TKFnqW1Udccvk11Y5tY9uY1FJ,2026-07-11T09:25:37.000Z,2H9XVTq8t6kCeAzPR6Ufw4RRB9AwG5MPiZGqpy3yt17iaFg7VevkNSz5EWyGuvhcuHsZjWXShzyZH5TfnjhjtRgt,https://solscan.io/token/D5L3Gzhig3B83fhTpPSSEh9cb4KyjPQdHLEQSinsCDBP,https://solscan.io/tx/2H9XVTq8t6kCeAzPR6Ufw4RRB9AwG5MPiZGqpy3yt17iaFg7VevkNSz5EWyGuvhcuHsZjWXShzyZH5TfnjhjtRgt,"Stellar Keepsake: Unverified…",false,true
BJKEVDr4YYq32xqXv34nSyB6HHVvppU7T4ucWuiDcjGg,GCvRmotHxSzFh3RjixR5yYoMVFYCL75i8WTt3LomNJPg,2026-07-11T09:25:39.000Z,4X8UydenPwkdme2pVo9E9zrrYqgvGHEkSKJz1QXS3cx5ZLzDkcnEGhw5FEGkhyVc5d63opwN88pYZ3XgHke8jpCB,https://solscan.io/token/BJKEVDr4YYq32xqXv34nSyB6HHVvppU7T4ucWuiDcjGg,https://solscan.io/tx/4X8UydenPwkdme2pVo9E9zrrYqgvGHEkSKJz1QXS3cx5ZLzDkcnEGhw5FEGkhyVc5d63opwN88pYZ3XgHke8jpCB,"Stellar Keepsake: Unverified…",false,true
HQWoNW6c48TpLgcsknXoe1cCojX1qKWG9Z5Ndhk4czSZ,J8fYNrzULsd4RnVMKRsHruhKGGXYxAPshMEi4p8zKA1,2026-07-11T09:25:40.000Z,2KcfypFrHTaQAHXbCtthkopD9R8Waf7MRBBnyibDFWSdkesFhwr6tTSuMQpXpXLWSNQzE4vr2uvvEk6DCP8P9ubA,https://solscan.io/token/HQWoNW6c48TpLgcsknXoe1cCojX1qKWG9Z5Ndhk4czSZ,https://solscan.io/tx/2KcfypFrHTaQAHXbCtthkopD9R8Waf7MRBBnyibDFWSdkesFhwr6tTSuMQpXpXLWSNQzE4vr2uvvEk6DCP8P9ubA,"Stellar Keepsake: Unverified…",false,true
3MNALXVnFLgs6fijdHB8F5ZxgW8KQkVQGdw1spozUqam,GCvRmotHxSzFh3RjixR5yYoMVFYCL75i8WTt3LomNJPg,2026-07-11T09:25:42.000Z,5Ldmz98x2s148ArkKwzUXFuFmrZzCkYskByEQznTauHuiFo5SqfLdXUjMP1AR5d3ZYTpr9ZGyQYJv4k7YSQYyEBd,https://solscan.io/token/3MNALXVnFLgs6fijdHB8F5ZxgW8KQkVQGdw1spozUqam,https://solscan.io/tx/5Ldmz98x2s148ArkKwzUXFuFmrZzCkYskByEQznTauHuiFo5SqfLdXUjMP1AR5d3ZYTpr9ZGyQYJv4k7YSQYyEBd,"Stellar Keepsake: Unverified…",false,true
DTrMhrhpEfJB7TUAccgGW8sG4w7LkzGJKmhRS1rCkH1T,2konLYHiUGqfFymhx81TKFnqW1Udccvk11Y5tY9uY1FJ,2026-07-11T09:25:58.000Z,eS8tExuy7pPHjNwhfLjBiPxYLKNio9ux4nBp4VNQymBxe48qmH2cRHb6qGnQ6DynmGXNj9QPjuQFNGWddbxt2QB,https://solscan.io/token/DTrMhrhpEfJB7TUAccgGW8sG4w7LkzGJKmhRS1rCkH1T,https://solscan.io/tx/eS8tExuy7pPHjNwhfLjBiPxYLKNio9ux4nBp4VNQymBxe48qmH2cRHb6qGnQ6DynmGXNj9QPjuQFNGWddbxt2QB,"Stellar Keepsake: Unverified…",false,true
Bsvw1y3M4vKfPjMnFqLDBpDrtkMtUiX1eCR2cgsFb6rH,GCvRmotHxSzFh3RjixR5yYoMVFYCL75i8WTt3LomNJPg,2026-07-11T09:26:04.000Z,5fi5VFMLV4VXbwasE96FHKUfmnqFQ4V4qG7cfifjkQLvC7B3RCtfopz7pcJH28Y4giFbDHnLc2bUoG37XFJCoAtp,https://solscan.io/token/Bsvw1y3M4vKfPjMnFqLDBpDrtkMtUiX1eCR2cgsFb6rH,https://solscan.io/tx/5fi5VFMLV4VXbwasE96FHKUfmnqFQ4V4qG7cfifjkQLvC7B3RCtfopz7pcJH28Y4giFbDHnLc2bUoG37XFJCoAtp,"Stellar Keepsake: Unverified…",false,true
CBFctDcZJsoCVJotXrG7GZemLAWpVkF932xx79ZmkpGL,J8fYNrzULsd4RnVMKRsHruhKGGXYxAPshMEi4p8zKA1,2026-07-11T09:26:05.000Z,TuPPGPJL8SNRCovZKPQkw62E4ZiDAmKFKVKFVfnQqGWKXrr1GNyJCLeZee9xUjWfqcCjVDAfxeZbi9PM581JdNo,https://solscan.io/token/CBFctDcZJsoCVJotXrG7GZemLAWpVkF932xx79ZmkpGL,https://solscan.io/tx/TuPPGPJL8SNRCovZKPQkw62E4ZiDAmKFKVKFVfnQqGWKXrr1GNyJCLeZee9xUjWfqcCjVDAfxeZbi9PM581JdNo,"Stellar Keepsake: Unverified…",false,true
9GxVFqVwXQAbCdTjkwb3qQT6Emf1yDuuEcQ76KAaEbjf,GCvRmotHxSzFh3RjixR5yYoMVFYCL75i8WTt3LomNJPg,2026-07-11T09:26:07.000Z,wQMqbvg8bcPVaccFEtFWixU1sKESq62NGajk86ry54SKuTEWSQAStxgdBwE9PNun93p56X2UHc8Gb5heJFtdbXX,https://solscan.io/token/9GxVFqVwXQAbCdTjkwb3qQT6Emf1yDuuEcQ76KAaEbjf,https://solscan.io/tx/wQMqbvg8bcPVaccFEtFWixU1sKESq62NGajk86ry54SKuTEWSQAStxgdBwE9PNun93p56X2UHc8Gb5heJFtdbXX,"Stellar Keepsake: Mars",false,true
2rSUgkyTN3EFD2FcK1PB9BELvGQBANeQN3gCivQCh29Q,J8fYNrzULsd4RnVMKRsHruhKGGXYxAPshMEi4p8zKA1,2026-07-22T08:34:40.000Z,2thD1dVSevh7si1sz1pbosgnZ4P7bNZZ1DUXu8incC46SFUNCcJvb5yF9GjknejLwFNS1Ja36Q3c5Y1KNK3oB6ak,https://solscan.io/token/2rSUgkyTN3EFD2FcK1PB9BELvGQBANeQN3gCivQCh29Q,https://solscan.io/tx/2thD1dVSevh7si1sz1pbosgnZ4P7bNZZ1DUXu8incC46SFUNCcJvb5yF9GjknejLwFNS1Ja36Q3c5Y1KNK3oB6ak,"Stellar Keepsake: Unverified…",false,true
